Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
junit4;LogistRegression;0;model6;SMOTE;0,7129745515227367;0,4949022721091436;0,7957727884048503;[0,82678751 0,16301703];0,7129745515227367;0,5982142857142857;0,7185995623632385;0,658406924038762;"[1642; 643; 45; 67]"
junit4;MLP;0;model6;SMOTE;0,7889027951606175;0,5326052106679656;0,8463712112891107;[0,87871524 0,18649518];0,7889027951606175;0,5178571428571429;0,8021881838074398;0,6600226633322913;"[1833; 452; 54; 58]"
junit4;RandomForest;0;model7;SMOTE;0,9386733416770963;0,7145117656066562;0,943844677471565;[0,96748507 0,46153846];0,9386733416770964;0,5625;0,9571115973741794;0,7598057986870898;"[2187; 98; 49; 63]"
junit4;DT;0;model7;SMOTE;0,8977889027951605;0,6234256902724155;0,9148192683818609;[0,94485708 0,3019943 ];0,8977889027951607;0,4732142857142857;0,9185995623632385;0,695906924038762;"[2099; 186; 59; 53]"
junit4;LogistRegression;0;model7;SMOTE;0,7100542344597414;0,5035260094418317;0,793814387814353;[0,82373827 0,18331375];0,7100542344597414;0,6964285714285714;0,7107221006564551;0,7035753360425133;"[1624; 661; 34; 78]"
junit4;MLP;0;model7;SMOTE;0,8343763037129746;0,5890629419550417;0,8768955203027674;[0,90656625 0,27155963];0,8343763037129746;0,6607142857142857;0,8428884026258205;0,7518013441700531;"[1926; 359; 38; 74]"
junit4;RandomForest;0;model6;ADA;0,9211514392991239;0,5871282716334039;0,9237852026805327;[0,95848891 0,21576763];0,9211514392991239;0,23214285714285715;0,9549234135667396;0,5935331353547983;"[2182; 103; 86; 26]"
junit4;DT;0;model6;ADA;0,8381309970796831;0,559007283210682;0,8770648764132719;[0,9098513  0,20816327];0,838130997079683;0,45535714285714285;0,8568927789934354;0,6561249609252892;"[1958; 327; 61; 51]"
junit4;LogistRegression;0;model6;ADA;0,7142261159783062;0,49661892561636356;0,7966572661344482;[0,82758621 0,16565164];0,7142261159783062;0,6071428571428571;0,7194748358862144;0,6633088465145357;"[1644; 641; 44; 68]"
junit4;MLP;0;model6;ADA;0,7976637463496037;0,5451369094687287;0,8523826074206555;[0,88405451 0,20621931];0,7976637463496037;0,5625;0,8091903719912472;0,6858451859956236;"[1849; 436; 49; 63]"
junit4;RandomForest;0;model7;ADA;0,932415519399249;0,692770112032407;0,9387547460466477;[0,96411165 0,42142857];0,932415519399249;0,5267857142857143;0,9522975929978118;0,739541653641763;"[2176; 109; 53; 59]"
junit4;DT;0;model7;ADA;0,8681685440133499;0,598037342707219;0,896762584660513;[0,92755617 0,26851852];0,86816854401335;0,5178571428571429;0,8853391684901531;0,7015981556736479;"[2023; 262; 54; 58]"
junit4;LogistRegression;0;model7;ADA;0,7113057989153108;0,5033772374197906;0,7946917210624505;[0,82472138 0,1820331 ];0,7113057989153108;0,6875;0,712472647702407;0,6999863238512035;"[1628; 657; 35; 77]"
junit4;MLP;0;model7;ADA;0,8130997079682937;0,5695622895622896;0,8630768820172241;[0,89333333 0,24579125];0,8130997079682937;0,6517857142857143;0,8210065645514223;0,7363961394185683;"[1876; 409; 39; 73]"
pdfbox;RandomForest;0;model6;NONE;0,7764089493061457;0,5670213815580639;0,7993899916633469;[0,86811994 0,26592283];0,7764089493061456;0,3548387096774194;0,8307225063938619;0,5927806080356407;"[10394; 2118; 1040; 572]"
pdfbox;DT;0;model6;NONE;0,7175021240441802;0,5531337388278994;0,7622879997265054;[0,82415161 0,28211587];0,7175021240441801;0,48635235732009924;0,7472826086956522;0,6168174830078756;"[9350; 3162; 828; 784]"
pdfbox;LogistRegression;0;model6;NONE;0,6958368734069669;0,5590785840508868;0,748586002558549;[0,80463847 0,3135187 ];0,6958368734069669;0,608560794044665;0,7070812020460358;0,6578209980453503;"[8847; 3665; 631; 981]"
pdfbox;MLP;0;model6;NONE;0,8861512319456245;0,5349485526135273;0,8468362179809591;[0,93908629 0,13081081];0,8861512319456245;0,0750620347394541;0,9906489769820972;0,5328555058607757;"[12395; 117; 1491; 121]"
pdfbox;RandomForest;0;model7;NONE;0,8735485698102521;0,6721516474203404;0,8704557534772542;[0,92911011 0,41519319];0,8735485698102521;0,3933002481389578;0,9354219948849105;0,6643611215119342;"[11704; 808; 978; 634]"
pdfbox;DT;0;model7;NONE;0,8309260832625318;0,6441940270367756;0,8431169563624932;[0,90195434 0,38643371];0,8309260832625318;0,4665012406947891;0,8778772378516624;0,6721892392732257;"[10984; 1528; 860; 752]"
pdfbox;LogistRegression;0;model7;NONE;0,659303313508921;0,5292378279384589;0,7202014314834533;[0,77668461 0,28179104];0,659303313508921;0,5856079404466501;0,6687979539641944;0,6272029472054222;"[8368; 4144; 668; 944]"
pdfbox;MLP;0;model7;NONE;0,8882752761257434;0,5459064970881192;0,8501970785876384;[0,94020009 0,1516129 ];0,8882752761257434;0,08746898263027296;0,9914482097186701;0,5394585961744716;"[12405; 107; 1471; 141]"
