Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;LogistRegression;3;model7;NONE;0,7931455614075261;0,6356816420959099;0,8207515660703081;[0,87519573 0,39616756];0,7931455614075261;0,5970449966420417;0,8182914226662074;0,7076682096541245;"[9502; 2110; 600; 889]"
pdfbox;MLP;3;model7;NONE;0,9304633234104267;0,798798157684006;0,9245621200022318;[0,96155956 0,63603676];0,9304633234104267;0,5345869711215581;0,9812263176024802;0,7579066443620192;"[11394; 218; 693; 796]"
pdfbox;DT;3;model6;ROS;0,8713075337760476;0,6889641434711761;0,8729799086048832;[0,92711395 0,45081433];0,8713075337760476;0,46474143720617866;0,9234412676541509;0,6940913524301647;"[10723; 889; 797; 692]"
pdfbox;RandomForest;3;model6;ROS;0,8725288145943058;0,6878501199139304;0,8733718452537578;[0,92794892 0,44775132];0,8725288145943058;0,4546675621222297;0,9261109197382018;0,6903892409302158;"[10754; 858; 812; 677]"
pdfbox;LogistRegression;3;model6;ROS;0,7098694756125487;0,5763944560874693;0,7601267953113446;[0,81417746 0,33861145];0,7098694756125487;0,6534586971121558;0,7171029968997589;0,6852808470059573;"[8327; 3285; 516; 973]"
pdfbox;MLP;3;model6;ROS;0,8001679261125106;0,6736578096926616;0,8306593922007074;[0,87684636 0,47046926];0,8001679261125105;0,781061114842176;0,8026179813985532;0,7918395481203646;"[9320; 2292; 326; 1163]"
pdfbox;DT;3;model7;ROS;0,8864208839019923;0,7459998499005591;0,8919275911177347;[0,93485684 0,55714286];0,8864208839019923;0,628609805238415;0,9194798484326558;0,7740448268355354;"[10677; 935; 553; 936]"
pdfbox;RandomForest;3;model7;ROS;0,902831844897336;0,7956531801868396;0,9100049532543307;[0,94364514 0,64766122];0,902831844897336;0,7857622565480188;0,9178436100585601;0,8518029333032895;"[10658; 954; 319; 1170]"
pdfbox;LogistRegression;3;model7;ROS;0,8040607587207084;0,64469987652283;0,8285624489514968;[0,88265143 0,40674832];0,8040607587207084;0,5910006715916722;0,8313813296589735;0,7111910006253228;"[9654; 1958; 609; 880]"
pdfbox;MLP;3;model7;ROS;0,8623769177925349;0,7510911356849191;0,8796922740725214;[0,91752436 0,58465791];0,8623769177925349;0,8522498321020819;0,8636755080950741;0,857962670098578;"[10029; 1583; 220; 1269]"
pdfbox;RandomForest;3;model6;SMOTE;0,8756583466910923;0,7102925663045497;0,8794174192903015;[0,92917083 0,4914143 ];0,8756583466910923;0,5285426460711887;0,9201687909059594;0,724355718488574;"[10685; 927; 702; 787]"
